Trial,Coherence,Noah Responses,Corey Responses,Jack Responses,Andrea Responses,Emily Responses
2,-0.35,-0.298741418764,-0.0878542510121,0.686466165414,0.551096491228,-0.736842105263
2,-0.35,-0.339874141876,-0.119736842105,0.700751879699,0.509868421053,-0.744736842105
2,-0.35,-0.398226544622,-0.0837044534413,0.715037593985,0.487280701754,-0.756842105263
2,-0.35,-0.482036613272,-0.0502024291498,0.707518796992,0.437280701754,-0.773947368421
2,-0.35,-0.563043478261,-0.0147773279352,0.579887218045,0.384649122807,-0.787631578947
2,-0.35,-0.654862700229,0.00688259109312,0.458646616541,0.357894736842,-0.636052631579
2,-0.35,-0.722196796339,0.00617408906883,0.430263157895,0.34100877193,0.0228947368421
2,-0.35,-0.7823798627,-0.0245951417004,0.374812030075,0.318640350877,-0.015
2,-0.35,-0.827116704805,-0.0893724696356,0.291353383459,0.256140350877,-0.0857894736842
2,-0.35,-0.863729977117,-0.177732793522,0.246428571429,0.160964912281,-0.130526315789
2,-0.35,-0.907780320366,-0.224493927126,0.165977443609,0.103070175439,-0.152894736842
2,-0.35,-0.97614416476,-0.259615384615,0.0936090225564,0.0495614035088,-0.240789473684
2,-0.35,-0.992734553776,-0.286234817814,0.0710526315789,-0.302631578947,-0.352631578947
